v5.5_gene	v5.3.1	v5.5	v6
Cre01.g002234	Cre01.g002236.t1.2	Cre01.g002234.t2.1	
Cre01.g002250	Cre01.g002250.t1.2	Cre01.g002250.t1.2	ChCC-v11000130m.g
Cre01.g002300	Cre01.g002300.t1.2	Cre01.g002300.t1.2	ChCC-v11000133m.g
Cre01.g002350	Cre01.g002350.t1.3	Cre01.g002350.t1.1	ChCC-v11000136m.g
Cre01.g002400	Cre01.g002400.t1.3	Cre01.g002400.t1.1	ChCC-v11000138m.g
Cre01.g002500	Cre01.g002500.t1.2	Cre01.g002500.t1.2	ChCC-v11000142m.g
Cre01.g002550	Cre01.g002550.t1.3	Cre01.g002550.t1.1	ChCC-v11000143m.g
Cre01.g002600	Cre01.g002600.t1.2	Cre01.g002600.t1.2	ChCC-v11000147m.g
Cre01.g002650	Cre01.g002650.t1.2	Cre01.g002650.t1.2	ChCC-v11000148m.g
Cre01.g002700	Cre01.g002700.t1.2	Cre01.g002700.t1.2	ChCC-v11000149m.g
Cre01.g002750	Cre01.g002750.t1.2	Cre01.g002750.t2.1	ChCC-v11000151m.g
Cre01.g002787	Cre01.g002800.t1.3	Cre01.g002787.t1.1	ChCC-v11000152m.g
Cre01.g002900	Cre01.g002900.t1.2	Cre01.g002900.t1.2	ChCC-v11000159m.g
Cre01.g002950	Cre01.g002950.t1.3	Cre01.g002950.t1.1	ChCC-v11000161m.g
Cre01.g003000	Cre01.g003000.t1.3	Cre01.g003000.t1.1	ChCC-v11000163m.g
Cre01.g003050	Cre01.g003050.t1.2	Cre01.g003050.t1.2	ChCC-v11000165m.g
Cre01.g003100	Cre01.g003100.t1.3	Cre01.g003100.t1.1	ChCC-v11000166m.g
Cre01.g003150	Cre01.g003150.t1.2	Cre01.g003150.t1.2	ChCC-v11000167m.g
Cre01.g003200	Cre01.g003200.t1.2	Cre01.g003200.t1.2	ChCC-v11000168m.g
Cre01.g003250	Cre01.g003250.t1.3	Cre01.g003250.t1.1	
Cre01.g003300	Cre01.g003300.t1.2	Cre01.g003300.t1.2	ChCC-v11000170m.g
Cre01.g003450	Cre01.g003450.t1.3	Cre01.g003450.t2.1	ChCC-v11000173m.g
Cre01.g003508	Cre01.g003519.t1.2	Cre01.g003508.t1.1	
Cre01.g003550	Cre01.g003550.t1.3	Cre01.g003550.t1.1	ChCC-v11000189m.g
Cre01.g003600	Cre01.g003600.t1.2	Cre01.g003600.t1.2	
Cre01.g003650	Cre01.g003650.t1.3	Cre01.g003650.t2.1	ChCC-v11000197m.g
Cre01.g003700	Cre01.g003700.t1.2	Cre01.g003700.t1.2	ChCC-v11000205m.g
Cre01.g003751	Cre01.g003750.t1.3	Cre01.g003751.t1.1	ex.Cre01.g003751.t1.1.g
Cre01.g003800	Cre01.g003800.t1.3	Cre01.g003800.t1.1	ChCC-v11000212m.g
Cre01.g003850	Cre01.g003850.t1.3	Cre01.g003850.t1.1	ChCC-v11000217m.g
Cre01.g004000	Cre01.g004000.t1.2	Cre01.g004000.t1.2	ChCC-v11000221m.g
Cre01.g004050	Cre01.g004050.t1.2	Cre01.g004050.t1.2	
Cre01.g004124	Cre01.g004124.t1.3	Cre01.g004124.t1.1	ChCC-v11000227m.g
Cre01.g004157	Cre01.g004157.t1.2	Cre01.g004157.t1.2	ChCC-v11000231m.g
Cre01.g004200	Cre01.g004200.t1.2	Cre01.g004200.t1.2	ChCC-v11000236m.g
Cre01.g004250	Cre01.g004250.t1.2	Cre01.g004250.t1.2	ChCC-v11000238m.g
Cre01.g004300	Cre01.g004300.t1.2	Cre01.g004300.t1.2	ChCC-v11000240m.g
Cre01.g004350	Cre01.g004350.t1.2	Cre01.g004350.t1.2	ChCC-v11000241m.g
Cre01.g004400	Cre01.g004400.t1.2	Cre01.g004400.t1.2	ChCC-v11000243m.g
Cre01.g004450	Cre01.g004450.t1.2	Cre01.g004450.t1.2	ChCC-v11000244m.g
Cre01.g004500	Cre01.g004500.t1.2	Cre01.g004500.t1.2	ChCC-v11000246m.g
Cre01.g004550	Cre01.g004550.t1.2	Cre01.g004550.t1.2	ChCC-v11000248m.g
Cre01.g004600	Cre01.g004600.t1.3	Cre01.g004600.t1.1	ChCC-v11000250m.g
Cre01.g004651	Cre01.g004650.t1.2	Cre01.g004651.t1.1	ChCC-v11000264m.g
Cre01.g004700	Cre01.g004700.t1.2	Cre01.g004700.t1.2	ChCC-v11000265m.g
Cre01.g004750	Cre01.g004750.t1.3	Cre01.g004750.t2.1	ChCC-v11000266m.g
Cre01.g004800	Cre01.g004800.t1.2	Cre01.g004800.t1.2	ChCC-v11000268m.g
Cre01.g004850	Cre01.g004850.t1.3	Cre01.g004850.t1.1	ChCC-v11000270m.g
Cre01.g004900	Cre01.g004900.t1.2	Cre01.g004900.t1.2	ChCC-v11000271m.g
Cre01.g004950	Cre01.g004950.t1.3	Cre01.g004950.t1.1	ChCC-v11000274m.g
Cre01.g005001	Cre01.g005000.t1.3	Cre01.g005001.t1.1	ChCC-v11000275m.g
Cre01.g005050	Cre01.g005050.t1.1	Cre01.g005050.t1.1	ChCC-v11000277m.g
Cre01.g005100	Cre01.g005100.t1.3	Cre01.g005100.t1.1	ChCC-v11000288m.g
Cre01.g005150	Cre01.g005150.t1.1	Cre01.g005150.t1.1	ChCC-v11000290m.g
Cre01.g005200	Cre01.g005200.t1.3	Cre01.g005200.t1.1	ChCC-v11000301m.g
Cre01.g005250	Cre01.g005250.t1.2	Cre01.g005250.t1.2	
Cre01.g005400	Cre01.g005400.t1.3	Cre01.g005400.t1.1	ChCC-v11000306m.g
Cre01.g005450	Cre01.g005450.t1.2	Cre01.g005450.t1.2	ChCC-v11000308m.g
Cre01.g005500	Cre01.g005500.t1.2	Cre01.g005500.t1.2	ChCC-v11000310m.g
Cre01.g005534	Cre01.g005534.t1.2	Cre01.g005534.t1.2	
Cre01.g005550	Cre01.g005550.t1.2	Cre01.g005550.t1.2	ChCC-v11000314m.g
Cre01.g005600	Cre01.g005650.t1.2	Cre01.g005600.t1.1	ChCC-v11000315m.g
Cre01.g005750	Cre01.g005750.t1.3	Cre01.g005750.t1.1	ChCC-v11000322m.g
Cre01.g005850	Cre01.g005850.t1.2	Cre01.g005850.t1.2	ChCC-v11000325m.g
Cre01.g005950	Cre01.g005950.t1.2	Cre01.g005950.t1.2	ChCC-v11000329m.g
Cre01.g006000	Cre01.g006000.t1.3	Cre01.g006000.t1.1	ChCC-v11000332m.g
Cre01.g006050	Cre01.g006050.t1.3	Cre01.g006050.t1.1	ChCC-v11000333m.g
Cre01.g006100	Cre01.g006100.t1.2	Cre01.g006100.t1.2	ChCC-v11000335m.g
Cre01.g006301	Cre01.g006300.t1.3	Cre01.g006301.t1.1	
Cre01.g006450	Cre01.g006450.t1.2	Cre01.g006450.t1.2	
Cre01.g006500	Cre01.g006500.t1.3	Cre01.g006500.t1.1	
Cre01.g006550	Cre01.g006550.t1.3	Cre01.g006550.t1.1	
Cre01.g006600	Cre01.g006600.t1.2	Cre01.g006600.t1.2	
Cre01.g006700	Cre01.g006700.t1.2	Cre01.g006700.t1.2	
Cre01.g006766	Cre01.g006750.t1.2	Cre01.g006766.t1.1	
Cre01.g006800	Cre01.g006800.t1.3	Cre01.g006800.t1.1	fli.orf.55.g
Cre01.g006850	Cre01.g006850.t1.2	Cre01.g006850.t1.2	ChCC-v11000344m.g
Cre01.g006900	Cre01.g006900.t1.3	Cre01.g006900.t1.1	ChCC-v11000347m.g
Cre01.g006950	Cre01.g006950.t1.3	Cre01.g006950.t1.1	ChCC-v11000353m.g
Cre01.g007000	Cre01.g007000.t1.2	Cre01.g007000.t1.2	ChCC-v11000354m.g
Cre01.g007050	Cre01.g007050.t1.2	Cre01.g007050.t1.2	ChCC-v11000357m.g
Cre01.g007100	Cre01.g007100.t1.3	Cre01.g007100.t1.1	ChCC-v11000359m.g
Cre01.g007150	Cre01.g007150.t1.3	Cre01.g007150.t1.1	ChCC-v11000360m.g
Cre01.g007200	Cre01.g007200.t1.2	Cre01.g007200.t1.2	ChCC-v11000361m.g
Cre01.g007300	Cre01.g007300.t1.2	Cre01.g007300.t1.2	ChCC-v11000365m.g
Cre01.g007350	Cre01.g007350.t1.2	Cre01.g007350.t1.2	ChCC-v11000367m.g
Cre01.g007400	Cre01.g007400.t1.3	Cre01.g007400.t1.1	ChCC-v11000368m.g
Cre01.g007450	Cre01.g007450.t1.3	Cre01.g007450.t1.1	ChCC-v11000370m.g
Cre01.g007500	Cre01.g007500.t1.3	Cre01.g007500.t1.1	ChCC-v11000373m.g
Cre01.g007550	Cre01.g007550.t1.3	Cre01.g007550.t1.1	ChCC-v11000376m.g
Cre01.g007700	Cre01.g007700.t1.2	Cre01.g007700.t1.1	ChCC-v11000379m.g
Cre01.g007850	Cre01.g007850.t1.2	Cre01.g007850.t1.2	ChCC-v11000384m.g
Cre01.g007901	Cre01.g007901.t1.3	Cre01.g007901.t2.1	ChCC-v11000385m.g
Cre01.g007950	Cre01.g007950.t1.3	Cre01.g007950.t1.1	ChCC-v11000389m.g
Cre01.g008000	Cre01.g008000.t1.2	Cre01.g008000.t1.2	ChCC-v11000393m.g
Cre01.g008150	Cre01.g008150.t1.3	Cre01.g008150.t1.1	ChCC-v11000397m.g
Cre01.g008200	Cre01.g008200.t1.3	Cre01.g008200.t1.1	ChCC-v11000400m.g
Cre01.g008250	Cre01.g008250.t1.2	Cre01.g008250.t1.2	ex.Cre01.g008250.t1.2.g
Cre01.g008300	Cre01.g008300.t1.3	Cre01.g008300.t1.1	ChCC-v11000407m.g
Cre01.g008350	Cre01.g008350.t1.3	Cre01.g008350.t1.1	ChCC-v11000410m.g
Cre01.g008450	Cre01.g008450.t1.2	Cre01.g008450.t1.2	ChCC-v11000416m.g
Cre01.g008500	Cre01.g008500.t1.2	Cre01.g008500.t1.2	ChCC-v11000417m.g
Cre01.g008550	Cre01.g008550.t1.3	Cre01.g008550.t1.1	ChCC-v11000419m.g
Cre01.g008600	Cre01.g008600.t1.3	Cre01.g008600.t1.1	ChCC-v11000424m.g
Cre01.g008650	Cre01.g008650.t1.3	Cre01.g008650.t1.1	ChCC-v11000425m.g
Cre01.g008700	Cre01.g008700.t1.2	Cre01.g008700.t1.2	ChCC-v11000426m.g
Cre01.g008800	Cre01.g008800.t1.3	Cre01.g008800.t1.1	ChCC-v11000428m.g
Cre01.g008850	Cre01.g008850.t1.3	Cre01.g008850.t1.1	ChCC-v11000434m.g
Cre01.g008891	Cre01.g008891.t1.2	Cre01.g008891.t1.2	ChCC-v11000436m.g
Cre01.g008900	Cre01.g008900.t1.2	Cre01.g008900.t1.2	ChCC-v11000437m.g
Cre01.g008950	Cre01.g008950.t1.2	Cre01.g008950.t2.1	ChCC-v11000441m.g
Cre01.g009000	Cre01.g009000.t1.3	Cre01.g009000.t1.1	ChCC-v11000443m.g
Cre01.g009025	Cre01.g009050.t1.2	Cre01.g009025.t1.1	
Cre01.g009101	Cre01.g009100.t1.3	Cre01.g009101.t1.1	ChCC-v11000447m.g
Cre01.g009150	Cre01.g009150.t1.3	Cre01.g009150.t1.1	ChCC-v11000449m.g
Cre01.g009200	Cre01.g009200.t1.2	Cre01.g009200.t1.2	ChCC-v11000450m.g
Cre01.g009250	Cre01.g009250.t1.3	Cre01.g009250.t1.1	ChCC-v11000454m.g
Cre01.g009300	Cre01.g009300.t1.3	Cre01.g009300.t1.1	ChCC-v11000458m.g
Cre01.g009350	Cre01.g009350.t1.2	Cre01.g009350.t1.2	ChCC-v11000460m.g
Cre01.g009400	Cre01.g009400.t1.2	Cre01.g009400.t1.2	ChCC-v11000467m.g
Cre01.g009450	Cre01.g009450.t1.3	Cre01.g009450.t1.1	ChCC-v11000470m.g
Cre01.g009500	Cre01.g009500.t1.2	Cre01.g009500.t1.2	ChCC-v11000471m.g
Cre01.g009550	Cre01.g009550.t1.3	Cre01.g009550.t1.1	ChCC-v11000473m.g
Cre01.g009650	Cre01.g009650.t1.2	Cre01.g009650.t1.2	ChCC-v11000477m.g
Cre01.g009700	Cre01.g009700.t1.3	Cre01.g009700.t1.1	ChCC-v11000479m.g
Cre01.g009731	Cre01.g009731.t1.2	Cre01.g009731.t1.2	ChCC-v11000482m.g
Cre01.g009765	Cre01.g009750.t1.3	Cre01.g009765.t1.1	ChCC-v11000483m.g
Cre01.g009800	Cre01.g009800.t1.2	Cre01.g009800.t1.2	ChCC-v11000484m.g
Cre01.g009850	Cre01.g009850.t1.2	Cre01.g009850.t1.2	ChCC-v11000487m.g
Cre01.g009900	Cre01.g009900.t1.3	Cre01.g009900.t1.1	ChCC-v11000489m.g
Cre01.g009950	Cre01.g009950.t1.2	Cre01.g009950.t1.2	ChCC-v11000491m.g
Cre01.g010000	Cre01.g010000.t1.2	Cre01.g010000.t1.2	ChCC-v11000492m.g
Cre01.g010050	Cre01.g010050.t1.3	Cre01.g010050.t1.1	ChCC-v11000494m.g
Cre01.g010100	Cre01.g010100.t1.2	Cre01.g010100.t1.2	ChCC-v11000501m.g
Cre01.g010150	Cre01.g010150.t1.2	Cre01.g010150.t1.2	ChCC-v11000503m.g
Cre01.g010250	Cre01.g010250.t1.3	Cre01.g010250.t1.1	ChCC-v11000508m.g
Cre01.g010296	Cre01.g010296.t1.1	Cre01.g010296.t1.1	ex.Cre01.g010296.t1.1.g
Cre01.g010300	Cre01.g010300.t1.2	Cre01.g010300.t1.2	ChCC-v11000515m.g
Cre01.g010350	Cre01.g010350.t1.2	Cre01.g010350.t1.2	ChCC-v11000525m.g
Cre01.g010400	Cre01.g010400.t1.2	Cre01.g010400.t1.2	ChCC-v11000531m.g
Cre01.g010450	Cre01.g010450.t1.2	Cre01.g010450.t1.2	ChCC-v11000532m.g
Cre01.g010500	Cre01.g010500.t1.2	Cre01.g010500.t1.2	ChCC-v11000538m.g
Cre01.g010650	Cre01.g010650.t1.2	Cre01.g010650.t1.2	ChCC-v11000540m.g
Cre01.g010700	Cre01.g010700.t1.2	Cre01.g010700.t1.2	ChCC-v11000541m.g
Cre01.g010750	Cre01.g010750.t1.2	Cre01.g010750.t1.2	ChCC-v11000542m.g
Cre01.g011050	Cre01.g011050.t1.2	Cre01.g011050.t1.2	
Cre01.g011100	Cre01.g011100.t1.2	Cre01.g011100.t2.1	ChCC-v11000567m.g
Cre01.g011150	Cre01.g011150.t1.3	Cre01.g011150.t1.1	ex.Cre01.g011150.t1.1.g
Cre01.g011200	Cre01.g011200.t1.2	Cre01.g011200.t1.2	ChCC-v11000572m.g
Cre01.g011250	Cre01.g011250.t1.3	Cre01.g011250.t1.1	ChCC-v11000575m.g
Cre01.g011300	Cre01.g011300.t1.1	Cre01.g011300.t1.1	ChCC-v11000576m.g
Cre01.g011350	Cre01.g011350.t1.2	Cre01.g011350.t1.2	ChCC-v11000577m.g
Cre01.g011400	Cre01.g011400.t1.3	Cre01.g011400.t2.1	ChCC-v11000579m.g
Cre01.g011500	Cre01.g011500.t1.2	Cre01.g011500.t1.2	ChCC-v11000584m.g
Cre01.g011550	Cre01.g011550.t1.3	Cre01.g011550.t1.1	ChCC-v11000589m.g
Cre01.g011600	Cre01.g011600.t1.2	Cre01.g011600.t1.2	ChCC-v11000591m.g
Cre01.g011630	Cre01.g011650.t1.3	Cre01.g011630.t2.1	ChCC-v11000595m.g
Cre01.g011660	Cre01.g011700.t1.2	Cre01.g011660.t2.1	ChCC-v11000599m.g
Cre01.g011800	Cre01.g011800.t1.3	Cre01.g011800.t1.1	ChCC-v11000603m.g
Cre01.g011850	Cre01.g011850.t1.3	Cre01.g011850.t1.1	ChCC-v11000606m.g
Cre01.g011901	Cre01.g011900.t1.3	Cre01.g011901.t1.1	ChCC-v11000616m.g
Cre01.g011950	Cre01.g011950.t1.2	Cre01.g011950.t1.1	
Cre01.g012000	Cre01.g012000.t1.3	Cre01.g012000.t1.1	ChCC-v11000619m.g
Cre01.g012050	Cre01.g012050.t1.2	Cre01.g012050.t1.2	ChCC-v11000620m.g
Cre01.g012100	Cre01.g012100.t1.3	Cre01.g012100.t1.1	ChCC-v11000623m.g
Cre01.g012126	Cre01.g012126.t1.2	Cre01.g012126.t1.2	ChCC-v11000628m.g
Cre01.g012150	Cre01.g012150.t1.2	Cre01.g012150.t1.2	ChCC-v11000633m.g
Cre01.g012175	Cre01.g012177.t1.2	Cre01.g012175.t1.1	
Cre01.g012244	Cre01.g012244.t1.2	Cre01.g012244.t1.2	
Cre01.g012300	Cre01.g012300.t1.3	Cre01.g012300.t1.1	ChCC-v11000645m.g
Cre01.g012350	Cre01.g012350.t1.2	Cre01.g012350.t1.2	ChCC-v11000646m.g
Cre01.g012400	Cre01.g012400.t1.2	Cre01.g012400.t1.2	ChCC-v11000648m.g
Cre01.g012450	Cre01.g012450.t1.3	Cre01.g012450.t1.1	ChCC-v11000650m.g
Cre01.g012500	Cre01.g012500.t1.2	Cre01.g012500.t1.2	ChCC-v11000654m.g
Cre01.g012550	Cre01.g012550.t1.3	Cre01.g012550.t1.1	ChCC-v11000655m.g
Cre01.g012600	Cre01.g012600.t1.3	Cre01.g012600.t1.1	ChCC-v11000658m.g
Cre01.g012650	Cre01.g012650.t1.3	Cre01.g012650.t1.1	ChCC-v11000659m.g
Cre01.g012700	Cre01.g012700.t1.2	Cre01.g012700.t1.2	ChCC-v11000663m.g
Cre01.g012750	Cre01.g012750.t1.3	Cre01.g012750.t1.1	ChCC-v11000665m.g
Cre01.g012800	Cre01.g012800.t1.3	Cre01.g012800.t2.1	ChCC-v11000668m.g
Cre01.g012850	Cre01.g012850.t1.2	Cre01.g012850.t1.2	ChCC-v11000669m.g
Cre01.g012900	Cre01.g012900.t1.3	Cre01.g012900.t1.1	ChCC-v11000672m.g
Cre01.g012950	Cre01.g012950.t1.3	Cre01.g012950.t2.1	ChCC-v11000673m.g
Cre01.g013000	Cre01.g013000.t1.3	Cre01.g013000.t1.1	ChCC-v11000676m.g
Cre01.g013050	Cre01.g013050.t1.3	Cre01.g013050.t1.1	ChCC-v11000679m.g
Cre01.g013100	Cre01.g013100.t1.3	Cre01.g013100.t1.1	ChCC-v11000686m.g
Cre01.g013150	Cre01.g013150.t1.2	Cre01.g013150.t1.2	ChCC-v11000688m.g
Cre01.g013200	Cre01.g013200.t1.2	Cre01.g013200.t1.2	ChCC-v11000689m.g
Cre01.g013250	Cre01.g013250.t1.3	Cre01.g013250.t1.1	ChCC-v11000690m.g
Cre01.g013300	Cre01.g013300.t1.1	Cre01.g013300.t1.1	ChCC-v11000695m.g
Cre01.g013350	Cre01.g013350.t1.2	Cre01.g013350.t1.2	ChCC-v11000699m.g
Cre01.g013400	Cre01.g013400.t1.3	Cre01.g013400.t1.1	ChCC-v11000700m.g
Cre01.g013450	Cre01.g013450.t1.2	Cre01.g013450.t1.2	ChCC-v11000702m.g
Cre01.g013500	Cre01.g013500.t1.2	Cre01.g013500.t1.2	ChCC-v11000710m.g
Cre01.g013550	Cre01.g013550.t1.3	Cre01.g013550.t1.1	ChCC-v11000713m.g
Cre01.g013600	Cre01.g013600.t1.3	Cre01.g013600.t1.1	ChCC-v11000715m.g
Cre01.g013650	Cre01.g013650.t1.3	Cre01.g013650.t1.1	ChCC-v11000717m.g
Cre01.g013700	Cre01.g013700.t1.2	Cre01.g013700.t2.1	ChCC-v11000720m.g
Cre01.g013750	Cre01.g013750.t1.3	Cre01.g013750.t1.1	ChCC-v11000721m.g
Cre01.g013769	Cre01.g013769.t1.2	Cre01.g013769.t1.2	ChCC-v11000723m.g
Cre01.g013800	Cre01.g013800.t1.3	Cre01.g013800.t1.1	ChCC-v11000724m.g
Cre01.g013801	Cre01.g013801.t1.2	Cre01.g013801.t1.2	ChCC-v11000725m.g
Cre01.g013850	Cre01.g013850.t1.3	Cre01.g013850.t1.1	ChCC-v11000727m.g
Cre01.g013900	Cre01.g013900.t1.3	Cre01.g013900.t2.1	ChCC-v11000729m.g
Cre01.g014000	Cre01.g014000.t1.2	Cre01.g014000.t1.2	ChCC-v11000739m.g
Cre01.g014050	Cre01.g014050.t1.2	Cre01.g014050.t1.2	ChCC-v11000741m.g
Cre01.g014100	Cre01.g014100.t1.2	Cre01.g014100.t1.2	ChCC-v11000744m.g
Cre01.g014150	Cre01.g014150.t1.2	Cre01.g014150.t1.2	ChCC-v11000745m.g
Cre01.g014200	Cre01.g014200.t1.2	Cre01.g014200.t1.2	ChCC-v11000746m.g
Cre01.g014250	Cre01.g014250.t1.3	Cre01.g014250.t1.1	ChCC-v11000748m.g
Cre01.g014300	Cre01.g014300.t1.3	Cre01.g014300.t2.1	ChCC-v11000758m.g
Cre01.g014350	Cre01.g014350.t1.2	Cre01.g014350.t1.2	ChCC-v11000759m.g
Cre01.g014400	Cre01.g014400.t1.3	Cre01.g014400.t1.1	ChCC-v11000761m.g
Cre01.g014450	Cre01.g014450.t1.3	Cre01.g014450.t1.1	ChCC-v11000763m.g
Cre01.g014500	Cre01.g014500.t1.3	Cre01.g014500.t1.1	ChCC-v11000772m.g
Cre01.g014600	Cre01.g014600.t1.2	Cre01.g014600.t1.2	
Cre01.g014650	Cre01.g014650.t1.2	Cre01.g014650.t1.2	ChCC-v11000777m.g
Cre01.g014700	Cre01.g014700.t1.2	Cre01.g014700.t1.2	ChCC-v11000781m.g
Cre01.g014800	Cre01.g014800.t1.3	Cre01.g014800.t1.1	ChCC-v11000783m.g
Cre01.g014850	Cre01.g014850.t1.2	Cre01.g014850.t1.2	ChCC-v11000784m.g
Cre01.g014900	Cre01.g014900.t1.3	Cre01.g014900.t1.1	ChCC-v11000787m.g
Cre01.g014950	Cre01.g014950.t1.3	Cre01.g014950.t1.1	ChCC-v11000792m.g
Cre01.g015000	Cre01.g015000.t1.2	Cre01.g015000.t1.2	ChCC-v11000793m.g
Cre01.g015050	Cre01.g015050.t1.3	Cre01.g015050.t1.1	ChCC-v11000794m.g
Cre01.g015100	Cre01.g015100.t1.3	Cre01.g015100.t1.1	
Cre01.g015103	Cre01.g015103.t1.2	Cre01.g015103.t1.2	ChCC-v11000796m.g
Cre01.g015150	Cre01.g015150.t1.2	Cre01.g015150.t1.2	ChCC-v11000800m.g
Cre01.g015200	Cre01.g015200.t1.3	Cre01.g015200.t1.1	ChCC-v11000802m.g
Cre01.g015250	Cre01.g015250.t1.1	Cre01.g015250.t1.1	ChCC-v11000804m.g
Cre01.g015300	Cre01.g015300.t1.1	Cre01.g015300.t1.1	ChCC-v11000806m.g
Cre01.g015350	Cre01.g015350.t1.1	Cre01.g015350.t1.1	ChCC-v11000807m.g
Cre01.g015400	Cre01.g015400.t1.2	Cre01.g015400.t1.2	ChCC-v11000809m.g
Cre01.g015500	Cre01.g015500.t1.2	Cre01.g015500.t1.2	ChCC-v11000812m.g
Cre01.g015550	Cre01.g015550.t1.3	Cre01.g015550.t1.1	ChCC-v11000814m.g
Cre01.g015600	Cre01.g015600.t1.3	Cre01.g015600.t1.1	ChCC-v11000815m.g
Cre01.g015700	Cre01.g015700.t1.2	Cre01.g015700.t1.2	ChCC-v11000824m.g
Cre01.g015750	Cre01.g015750.t1.2	Cre01.g015750.t1.2	ChCC-v11000827m.g
Cre01.g015850	Cre01.g015850.t1.1	Cre01.g015850.t1.1	ChCC-v11000831m.g
Cre01.g015950	Cre01.g015950.t1.2	Cre01.g015950.t1.2	ChCC-v11000836m.g
Cre01.g016001	Cre01.g016000.t1.2	Cre01.g016001.t1.1	ChCC-v11000840m.g
Cre01.g016050	Cre01.g016050.t1.2	Cre01.g016050.t1.2	ChCC-v11000843m.g
Cre01.g016100	Cre01.g016100.t1.3	Cre01.g016100.t1.1	ChCC-v11000844m.g
Cre01.g016150	Cre01.g016150.t1.2	Cre01.g016150.t1.2	ChCC-v11000845m.g
Cre01.g016300	Cre01.g016300.t1.1	Cre01.g016300.t1.1	ChCC-v11000848m.g
Cre01.g016350	Cre01.g016350.t1.1	Cre01.g016350.t1.1	ChCC-v11000849m.g
Cre01.g016400	Cre01.g016400.t1.3	Cre01.g016400.t1.1	ChCC-v11000851m.g
Cre01.g016450	Cre01.g016450.t1.2	Cre01.g016450.t1.1	ChCC-v11000854m.g
